REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,n,avmort,Var,SE,CV_perc,MORT_TYPE
FLK,2007,OFPR / PROT = 1,OFPR,NA,1,2,18.736111111111114,0.46315586419753063,0.6805555555555554,3.6323202372127485,Old
Tortugas,2007,SPGR_LR / PROT = 2,SPGR_LR,NA,2,1,8.75,NA,NA,NA,Old
FLK,2008,FMLR / PROT = 0,FMLR,NA,0,52,7.337574014441264,0.47008921036715284,0.6856305203002218,9.344103636308336,Old
FLK,2008,FMLR / PROT = 1,FMLR,NA,1,4,9.459871812087128,2.3125175653021794,1.5206964079993677,16.075232711465855,Old
FLK,2008,FSLR / PROT = 0,FSLR,NA,0,13,6.572022180717833,5.2382111653110615,2.2887138670683718,34.8251086824297,Old
FLK,2008,FSLR / PROT = 1,FSLR,NA,1,1,0,NA,NA,NA,Old
FLK,2008,HRRF / PROT = 0,HRRF,NA,0,4,5.590277777777779,3.915557484567902,1.9787767647129633,35.39675206443064,Old
FLK,2008,HRRF / PROT = 1,HRRF,NA,1,4,10.042056036461407,32.465584643488086,5.697857899552084,56.73995324128743,Old
SEFCRI,2008,INNR0 / PROT = 0,INNR0,0,0,7,16.82387652030509,3.5533085965641282,1.88502217402452,11.204446084405381,Old
SEFCRI,2008,INNR1 / PROT = 0,INNR1,1,0,4,14.770838724982747,6.417158804472746,2.533211164603683,17.15008342971832,Old
FLK,2008,INPR / PROT = 0,INPR,NA,0,6,6.581565106800955,6.518270421000852,2.5530903667909706,38.79153856812532,Old
FLK,2008,MCPR / PROT = 0,MCPR,NA,0,26,13.227258492211195,4.537728247276466,2.130194415370688,16.10457992202271,Old
FLK,2008,MCPR / PROT = 1,MCPR,NA,1,7,2.0714285714285716,4.290816326530613,2.0714285714285716,100,Old
SEFCRI,2008,MIDR0 / PROT = 0,MIDR0,0,0,3,16.403594771241828,4.431679589046944,2.105155478592245,12.833500875569817,Old
SEFCRI,2008,MIDR1 / PROT = 0,MIDR1,1,0,4,16.570665445665448,1.541329697102743,1.2415029992322786,7.492173463420147,Old
SEFCRI,2008,NEAR0 / PROT = 0,NEAR0,0,0,22,18.10195881098374,6.070773358975256,2.463893942314737,13.611200688511776,Old
SEFCRI,2008,NEAR1 / PROT = 0,NEAR1,1,0,6,10.439112903225807,8.046078803667092,2.83656108759658,27.172434227816904,Old
SEFCRI,2008,OFFR0 / PROT = 0,OFFR0,0,0,3,15.597222222222221,69.31847993827161,8.325772032566807,53.37983849909263,Old
SEFCRI,2008,OFFR1 / PROT = 0,OFFR1,1,0,14,12.689189015104708,4.746359914676311,2.1786142188731605,17.16905797746274,Old
FLK,2008,OFPR / PROT = 0,OFPR,NA,0,17,6.5276180759427485,0.9546278214162182,0.9770505725990943,14.967949430129371,Old
FLK,2008,OFPR / PROT = 1,OFPR,NA,1,1,12.544642857142856,NA,NA,NA,Old
Tortugas,2009,CONT_HR / PROT = 2,CONT_HR,NA,2,3,18.284000355396376,21.418065668641717,4.62796560797957,25.31155938538178,Old
Tortugas,2009,CONT_LR / PROT = 2,CONT_LR,NA,2,8,7.428519214703426,2.1793877613802928,1.476274961306427,19.873071855079875,Old
Tortugas,2009,CONT_MR / PROT = 2,CONT_MR,NA,2,4,11.602707241950121,2.5021507668897587,1.5818188160752669,13.633187350932447,Old
FLK,2009,FMLR / PROT = 0,FMLR,NA,0,75,10.257962316379627,0.6874321323165421,0.8291152708258015,8.082650776576683,Old
FLK,2009,FMLR / PROT = 1,FMLR,NA,1,9,11.567389376747448,7.89028106686067,2.8089644118181116,24.28347763121591,Old
FLK,2009,FSLR / PROT = 0,FSLR,NA,0,22,7.906504506900772,3.0621018048020217,1.7498862262450154,22.132235866275927,Old
FLK,2009,FSLR / PROT = 1,FSLR,NA,1,11,10.748661929044848,4.112481367729691,2.0279253851484995,18.86677056675003,Old
FLK,2009,HRRF / PROT = 0,HRRF,NA,0,24,13.220497370350339,0.9036598484099004,0.9506102505285225,7.190427288011568,Old
FLK,2009,HRRF / PROT = 1,HRRF,NA,1,54,10.705784177542984,0.841923988653222,0.9175641605104364,8.570732842113213,Old
SEFCRI,2009,INNR0 / PROT = 0,INNR0,0,0,4,11.206281565656566,24.528733341344317,4.952649123584702,44.195294349580536,Old
SEFCRI,2009,INNR1 / PROT = 0,INNR1,1,0,1,6.363636363636363,NA,NA,NA,Old
FLK,2009,INPR / PROT = 0,INPR,NA,0,9,9.849146380924852,7.8439005875055,2.800696446869153,28.43593077561878,Old
FLK,2009,INPR / PROT = 1,INPR,NA,1,3,38.54523063143752,241.89694898201688,15.553036648256729,40.35009362629591,Old
Tortugas,2009,ISOL_HR / PROT = 2,ISOL_HR,NA,2,3,11.67109057427685,6.542370171100086,2.5578057336514215,21.91573887095727,Old
Tortugas,2009,ISOL_LR / PROT = 2,ISOL_LR,NA,2,4,9.537657517920675,0.30949172933192604,0.5563198085022014,5.832876756760353,Old
Tortugas,2009,ISOL_MR / PROT = 2,ISOL_MR,NA,2,3,8.825280112044817,19.902688403792887,4.461242921405748,50.550723203867555,Old
FLK,2009,MCPR / PROT = 0,MCPR,NA,0,46,12.700624263660528,1.95701289812285,1.3989327711233481,11.01467724799972,Old
FLK,2009,MCPR / PROT = 1,MCPR,NA,1,15,5.220853137394233,1.6169423829875424,1.2715904934323559,24.355990486011187,Old
SEFCRI,2009,MIDR0 / PROT = 0,MIDR0,0,0,4,13.499740362612217,70.34154204945699,8.386986470089063,62.12702055601736,Old
SEFCRI,2009,MIDR1 / PROT = 0,MIDR1,1,0,5,16.817575757575757,16.981083930211202,4.120811076743412,24.503002906867387,Old
SEFCRI,2009,NEAR0 / PROT = 0,NEAR0,0,0,29,13.945051574065,2.390960506184029,1.5462731020696276,11.088328313861425,Old
SEFCRI,2009,NEAR1 / PROT = 0,NEAR1,1,0,6,10.262745098039215,4.514799692425989,2.1248058011088893,20.704068753640307,Old
SEFCRI,2009,OFFR0 / PROT = 0,OFFR0,0,0,5,15.839411976911977,5.2549944660868615,2.292377470244999,14.472617251110334,Old
SEFCRI,2009,OFFR1 / PROT = 0,OFFR1,1,0,11,12.352320643100775,7.673463357292643,2.7701016871755164,22.425759233530908,Old
FLK,2009,OFPR / PROT = 0,OFPR,NA,0,37,12.192097221787646,0.9860393469590268,0.9929951394438076,8.144580225863809,Old
FLK,2009,OFPR / PROT = 1,OFPR,NA,1,9,11.658011883392637,3.8715507311607147,1.967625658289888,16.87788345020354,Old
Tortugas,2009,SPGR_HR / PROT = 2,SPGR_HR,NA,2,5,12.161531509629334,3.0765993937706293,1.7540237722934742,14.42272110962885,Old
Tortugas,2009,SPGR_LR / PROT = 2,SPGR_LR,NA,2,5,9.662878787878787,12.230400238177225,3.4971989131556738,36.192101649278634,Old
FLK,2010,FDLR / PROT = 0,FDLR,NA,0,2,17.541666666666668,38.54340277777777,6.208333333333333,35.39192399049881,Old
FLK,2010,FMLR / PROT = 0,FMLR,NA,0,49,8.953405344542075,1.446779061192968,1.2028212922928194,13.434232518312708,Old
FLK,2010,FMLR / PROT = 1,FMLR,NA,1,2,1.4677419354838708,2.154266389177939,1.4677419354838708,100,Old
FLK,2010,FSLR / PROT = 0,FSLR,NA,0,14,6.574717023248129,1.5544483364582238,1.2467751747842206,18.96317621542702,Old
FLK,2010,FSLR / PROT = 1,FSLR,NA,1,2,0,5e-9,7.071067811865475e-5,Inf,Old
FLK,2010,HRRF / PROT = 0,HRRF,NA,0,3,8.052308802308803,17.663450496513267,4.202790798566266,52.19361181678997,Old
FLK,2010,HRRF / PROT = 1,HRRF,NA,1,11,10.11621891627151,6.184153002122699,2.486795729874631,24.58226488035688,Old
