"REGION","SURVEY","YEAR","SUB_REGION_NAME","PRIMARY_SAMPLE_UNIT","LAT_DEGREES","LON_DEGREES","STRAT","HABITAT_CD","PROT","avsitemort","MORT_TYPE"
"SEFCRI","NCRMP",2016,"South Palm Beach","3195",26.41563,-80.0505,"OFFR1","LIRO","0",0,"Old"
"SEFCRI","NCRMP",2016,"South Palm Beach","3199",26.5862,-80.02448,"OFFR1","RGDP","0",0.625,"Old"
"SEFCRI","NCRMP",2016,"South Palm Beach","3203",26.50883,-80.03383,"OFFR1","CPDP","0",3.21428571428571,"Old"
"SEFCRI","NCRMP",2016,"South Palm Beach","3203",26.50883333,-80.03383333,"OFFR1","CPDP","0",0,"Old"
"SEFCRI","NCRMP",2016,"South Palm Beach","3206",26.40071667,-80.05091667,"OFFR1","SPGR","0",0,"Old"
"SEFCRI","NCRMP",2016,"South Palm Beach","3206",26.40072,-80.05092,"OFFR1","SPGR","0",8.7,"Old"
"SEFCRI","NCRMP",2016,"South Palm Beach","3207",26.56608,-80.0255,"OFFR1","RGDP","0",0.555555555555556,"Old"
"SEFCRI","NCRMP",2016,"South Palm Beach","3210",26.43697,-80.04603,"OFFR1","APRD","0",24.1666666666667,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3053",25.842734,-80.104184,"INNR0","LIRI","0",6.55555555555556,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3059",25.9539333,-80.10025,"INNR0","LIRI","0",2,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3062",25.97675,-80.0999667,"INNR0","LIRI","0",13,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3063",25.852599,-80.099801,"INNR1","LIRI","0",4.42857142857143,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3066",26.0106667,-80.1010833,"INNR1","LIRI","0",7.6,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3067",25.9570667,-80.0999333,"NEAR1","CPSH","0",4.75,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3077",25.87379,-80.100493,"INNR1","LIRI","0",6.72727272727273,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3079",26.0906167,-80.09555,"INNR1","LIRI","0",21.6666666666667,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3085",25.9054,-80.09075,"MIDR0","LIRM","0",16.6,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3096",26.2103,-80.0783333,"MIDR0","LIRM","0",10.7142857142857,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3097",25.82206,-80.091247,"MIDR0","LIRM","0",1.5,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3109",25.876977,-80.092436,"MIDR1","LIRM","0",4.66666666666667,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3110",25.871592,-80.092463,"MIDR1","LIRM","0",5.3125,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3117",25.7993833,-80.09264,"MIDR1","LIRM","0",9.44444444444444,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3136",25.888696,-80.107344,"NEAR0","RGSH","0",16.5454545454545,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3155",26.1650167,-80.0934667,"NEAR1","RGSH","0",8.125,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3179",26.0435667,-80.1061333,"NEAR1","RGSH","0",1,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3180",26.1717833,-80.0886667,"NEAR1","RGSH","0",47.5,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3202",26.0105667,-80.0885667,"OFFR1","CPDP","0",1,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3230",26.12655,-80.0805,"OFFR1","LIRO","0",10.5,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3231",25.9273,-80.0877333,"OFFR1","SPGR","0",27.6818181818182,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3240",26.00312,-80.08755,"OFFR1","LIRO","0",27.6923076923077,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3241",26.2376667,-80.0658333,"OFFR1","SPGR","0",22.4545454545455,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3242",25.9605833,-80.0887667,"OFFR1","SPGR","0",18.5714285714286,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3243",25.809138,-80.08841,"OFFR0","LIRO","0",11.25,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3263",25.9626167,-80.0889167,"NEAR1","APRD","0",40,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3266",26.1414333,-80.0773667,"OFFR1","APRD","0",25,"Old"
