SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,dis_present,ble_present
DRM,SEFCRI,2015,Deerfield,5244,26.2904,-80.0747,NEAR0,CPSH,0,0,0
DRM,SEFCRI,2015,Deerfield,5247,26.3028,-80.0678,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2015,Deerfield,5248,26.2939,-80.0687,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2015,Deerfield,5557,26.3030,-80.0746,NEAR0,RGSH,0,0,0
DRM,SEFCRI,2015,Deerfield,5558,26.2606,-80.0764,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2015,Deerfield,5559,26.3630,-80.0616,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2015,Deerfield,5561,26.3183,-80.0655,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2015,Deerfield,5892,26.3079,-80.0655,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2015,Deerfield,5893,26.3516,-80.0552,OFFR1,SPGR,0,1,1
DRM,SEFCRI,2015,Martin,5221,27.1784,-80.1538,NEAR0,RGSH,0,0,0
DRM,SEFCRI,2015,Martin,5224,27.1263,-80.1366,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2015,Martin,5226,27.1326,-80.1324,NEAR1,RGSH,0,0,1
DRM,SEFCRI,2015,Martin,5228,27.1118,-80.1231,NEAR1,RGSH,0,0,0
DRM,SEFCRI,2015,Martin,5545,27.1057,-80.1206,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Martin,5547,27.1426,-80.1369,NEAR1,RGSH,0,0,1
DRM,SEFCRI,2015,South Palm Beach,5236,26.5688,-80.0280,NEAR1,APRD,0,0,1
DRM,SEFCRI,2015,South Palm Beach,5237,26.5516,-80.0304,NEAR0,PTCH,0,0,0
DRM,SEFCRI,2015,South Palm Beach,5238,26.7056,-80.0165,OFFR1,LIRO,0,0,0
DRM,SEFCRI,2015,South Palm Beach,5239,26.7009,-80.0171,OFFR0,LIRO,0,0,1
DRM,SEFCRI,2015,South Palm Beach,5240,26.6894,-80.0195,OFFR0,LIRO,0,0,1
DRM,SEFCRI,2015,South Palm Beach,5241,26.4538,-80.0461,OFFR1,LIRO,0,0,1
DRM,SEFCRI,2015,South Palm Beach,5855,26.6986,-80.0305,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2016,Broward-Miami,5918,25.8422,-80.1040,INNR0,LIRI,0,1,0
DRM,SEFCRI,2016,Broward-Miami,5920,25.8421,-80.0881,OFFR1,LIRO,0,0,0
DRM,SEFCRI,2016,Broward-Miami,5923,25.9516,-80.1091,NEAR0,RGSH,0,0,0
DRM,SEFCRI,2016,Broward-Miami,5927,26.1479,-80.0959,NEAR1,CPSH,0,1,0
DRM,SEFCRI,2016,Broward-Miami,5928,26.1599,-80.0825,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2016,Broward-Miami,5929,26.1586,-80.0773,OFFR1,SPGR,0,0,1
DRM,SEFCRI,2016,Broward-Miami,5930,26.1494,-80.0894,INNR1,LIRI,0,1,1
DRM,SEFCRI,2016,Broward-Miami,6032,26.0773,-80.1076,NEAR0,CPSH,0,1,1
DRM,SEFCRI,2016,Broward-Miami,6033,26.2117,-80.0856,NEAR1,RGSH,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6035,26.1891,-80.0868,INNR0,LIRI,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6038,25.9156,-80.1029,INNR0,LIRI,0,1,1
DRM,SEFCRI,2016,Broward-Miami,6039,25.9463,-80.1026,INNR0,LIRI,0,0,0
DRM,SEFCRI,2016,Broward-Miami,6041,25.9518,-80.0996,INNR1,LIRI,0,1,0
DRM,SEFCRI,2016,Broward-Miami,6042,25.8804,-80.1011,INNR1,LIRI,0,0,1
