SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,SPECIES_CD,Total_dis,Total_ble,Total_col,DIS_PREV,BLE_PREV
NCRMP,SEFCRI,2016,Broward-Miami,3095,26.0635,-80.0939,MIDR0,LIRM,0,POR ASTR,0,0,8,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3095,26.0635,-80.0939,MIDR0,LIRM,0,SID RADI,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3095,26.0635,-80.0939,MIDR0,LIRM,0,SID SIDE,0,0,4,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3095,26.0635,-80.0939,MIDR0,LIRM,0,STE INTE,0,0,4,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3097,26.0302,-80.0945,MIDR0,LIRM,0,EUS FAST,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3097,26.0302,-80.0945,MIDR0,LIRM,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3097,26.0302,-80.0945,MIDR0,LIRM,0,STE INTE,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3099,25.9868,-80.0930,MIDR0,LIRM,0,MON CAVE,1,0,1,100,0
NCRMP,SEFCRI,2016,Broward-Miami,3099,25.9868,-80.0930,MIDR0,LIRM,0,POR ASTR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3099,25.9868,-80.0930,MIDR0,LIRM,0,SID SIDE,0,2,2,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3099,25.9868,-80.0930,MIDR0,LIRM,0,STE INTE,1,0,2,50,0
NCRMP,SEFCRI,2016,Broward-Miami,3105,25.8614,-80.0926,MIDR1,LIRM,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3108,26.2331,-80.0742,MIDR1,LIRM,0,AGA AGAR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3108,26.2331,-80.0742,MIDR1,LIRM,0,MAD DECA,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3108,26.2331,-80.0742,MIDR1,LIRM,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3108,26.2331,-80.0742,MIDR1,LIRM,0,SID SIDE,0,1,4,0,25
NCRMP,SEFCRI,2016,Broward-Miami,3110,26.1478,-80.0821,MIDR1,LIRM,0,SID SIDE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3110,26.1478,-80.0821,MIDR1,LIRM,0,STE INTE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3115,26.0717,-80.0924,MIDR1,LIRM,0,MON CAVE,1,1,1,100,100
NCRMP,SEFCRI,2016,Broward-Miami,3115,26.0717,-80.0924,MIDR1,LIRM,0,POR ASTR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3115,26.0717,-80.0924,MIDR1,LIRM,0,POR PORI,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3117,26.0333,-80.0943,MIDR1,LIRM,0,MAD DECA,0,0,3,0,0
