"REGION","YEAR","ANALYSIS_STRATUM","STRAT","PROT","NTOT","n","avSimp","avInvSimp","avShannon","Var_Simp","Var_InvSimp","Var_Shan","SE_Simp","SE_InvSimp","SE_Shan"
"SEFCRI",2020,"PTDP1 / PROT = 0","PTDP1","0",2528,6,0.701429739767808,4.25547972820519,1.47096380293009,0.0063726900014353,3.40203440216643,0.30248713517255,0.0798291300305553,1.8444604637038,0.54998830457797
"SEFCRI",2020,"PTSH2 / PROT = 0","PTSH2","0",709,6,0.557603773999835,2.94915232873259,0.998863455644958,0.00723553788691515,3.87074755196769,0.294624093838003,0.0850619649838584,1.96742154912659,0.542792864579116
"SEFCRI",2022,"DPRC0 / PROT = 0","DPRC0","0",30238,7,0.56547619047619,2.51428571428571,0.889327946393536,0.00246834845049131,0.718095238095238,0.0928267433783696,0.0496824762918608,0.84740500240159,0.304674815792788
"SEFCRI",2022,"INNR0 / PROT = 0","INNR0","0",4085,3,0.704218106995885,3.50994152046784,1.3469709738246,0.00172446823824282,0.643278957627988,0.100020696136301,0.0415267171618805,0.802046730326848,0.316260487788628
"SEFCRI",2022,"INNR1 / PROT = 0","INNR1","0",2332,13,0.744126111849392,4.48818348617526,1.63604287110752,0.00101695192145167,2.28920026749757,0.131596257715155,0.0318896836210658,1.5130103329117,0.362761984936618
"SEFCRI",2022,"MIDR0 / PROT = 0","MIDR0","0",4677,5,0.716111992945326,3.77770308123249,1.42843822803515,0.0016985635908227,1.01614722751846,0.0743953407554552,0.0412136335552048,1.00804128264593,0.272755092996364
"SEFCRI",2022,"MIDR1 / PROT = 0","MIDR1","0",1764,10,0.714229662112779,3.89277208171945,1.41135209403575,0.00110533125798788,1.52508566757134,0.13219750061316,0.0332465224946592,1.2349435888215,0.36358974217263
"SEFCRI",2022,"NEAR0 / PROT = 0","NEAR0","0",24765,20,0.631898410512047,3.1086413271717,1.19779235427785,0.000970700233792558,1.29723114177142,0.179432442477839,0.0311560625527771,1.13896055321131,0.42359466766927
"SEFCRI",2022,"NEAR1 / PROT = 0","NEAR1","0",1583,1,0.790123456790123,4.76470588235294,1.67698777432242,NA,NA,NA,NA,NA,NA
"SEFCRI",2022,"OFFR0 / PROT = 0","OFFR0","0",4884,4,0.628194444444444,3.11230158730159,1.12753619046412,0.00792085262345679,1.51182224741749,0.184747969512455,0.0889991720380408,1.22956181114147,0.429823184009954
"SEFCRI",2022,"OFFR1 / PROT = 0","OFFR1","0",8262,23,0.733447183782139,3.92952329741499,1.44646995783477,0.000145890322859119,0.832054183347827,0.0537728378890488,0.0120785066485522,0.912170040808087,0.231889710614871
"SEFCRI",2022,"PTDP0 / PROT = 0","PTDP0","0",1607,2,0.5625,2.33333333333333,0.866433975699932,0.00390625,0.222222222222222,0.0600566267397752,0.0625,0.471404520791032,0.245064535867137
"SEFCRI",2022,"PTDP1 / PROT = 0","PTDP1","0",2528,9,0.745857250533315,4.30311742125362,1.50987453925693,0.000703870558723503,1.85230582253472,0.0788631479631025,0.0265305589598769,1.360994424138,0.280825832079427
"SEFCRI",2022,"PTSH2 / PROT = 0","PTSH2","0",709,3,0.529613250086715,2.36484848484848,0.87958402615583,0.00978693417487107,0.997161432506887,0.194552430974819,0.0989289349728939,0.998579707638247,0.441080980064681
"SEFCRI",2020,"DPRC1 / PROT = 0","DPRC1","0",1721,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEFCRI",2022,"DPRC1 / PROT = 0","DPRC1","0",1721,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
