REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMaxdiam,Var_maxdiam,SE_maxdiam,n_sites,n_strat,ngrtot
SEFCRI,2016,SID RADI,Siderastrea radians,7.421720410105337,1.778378722460231,1.3335586685482685,36,8,21951
SEFCRI,2016,SID SIDE,Siderastrea siderea,7.311140949223203,1.7169975437646112,1.3103425291749524,106,10,23862
SEFCRI,2016,SOL BOUR,Solenastrea bournoni,16.181715938303345,14.427141465971818,3.798307710806461,20,8,21784
SEFCRI,2016,STE INTE,Stephanocoenia intersepta,9.006176564629333,1.7570915573138044,1.3255533023284294,82,10,23862
SEFCRI,2017,AGA LAMA,Agaricia lamarcki,29.430820610687018,0,0,2,2,4192
SEFCRI,2017,COL NATA,Colpophyllia natans,22.96958174904943,0,0,2,2,7364
SEFCRI,2017,DIP LABY,Diploria labyrinthiformis,5,0,0,1,1,1092
SEFCRI,2017,EUS FAST,Eusmilia fastigiata,5,0,0,1,1,1092
SEFCRI,2017,MAD DECA,Madracis decactis,11.333333333333332,3.555555555555554,1.8856180831641263,2,1,1092
SEFCRI,2017,MEA MEAN,Meandrina meandrites,5.80544937763403,0,0,3,3,10203
SEFCRI,2017,MON CAVE,Montastraea cavernosa,13.807664632028187,3.4916303199643495,1.8685904634146964,7,6,13434
SEFCRI,2017,ORB FAVE,Orbicella faveolata,16,0,0,1,1,1294
SEFCRI,2017,POR ASTR,Porites astreoides,11.27088233834549,4.23622857288336,2.058210041002463,14,6,13434
SEFCRI,2017,POR DIVA,Porites divaricata,6.833333333333333,2.083333333333333,1.4433756729740643,3,1,6272
SEFCRI,2017,PSE CLIV,Pseudodiploria clivosa,21,0,0,1,1,6272
SEFCRI,2017,PSE STRI,Pseudodiploria strigosa,28.022813688212928,527.4708033945842,22.966732536314,5,2,7364
SEFCRI,2017,SID RADI,Siderastrea radians,5.5809889634278305,0.8026204426526918,0.8958908653696006,8,4,9242
SEFCRI,2017,SID SIDE,Siderastrea siderea,7.726828977678926,1.5432170424049503,1.2422628717002493,16,5,12589
SEFCRI,2017,SOL BOUR,Solenastrea bournoni,19.96698046929886,2.426991131529691,1.557880332865683,3,2,7117
SEFCRI,2017,STE INTE,Stephanocoenia intersepta,8.632143566076126,1.759426339518662,1.3264336920926965,17,6,13434
SEFCRI,2018,AGA AGAR,Agaricia agaricites,17.43814840865131,56.948889883219536,7.546448825985606,9,4,5687
SEFCRI,2018,AGA FRAG,Agaricia fragilis,9.965727280110453,0.01644626680188821,0.12824299903654862,9,7,12313
SEFCRI,2018,AGA LAMA,Agaricia lamarcki,48.9638196915777,0,0,3,3,5058
SEFCRI,2018,COL NATA,Colpophyllia natans,30,0,0,1,1,1294
SEFCRI,2018,DIC STOK,Dichocoenia stokesii,15.097770825185766,0,0,4,4,10228
SEFCRI,2018,DIP LABY,Diploria labyrinthiformis,19,0,0,1,1,866
SEFCRI,2018,EUS FAST,Eusmilia fastigiata,12.523323845667298,0,0,3,3,8432
SEFCRI,2018,MAD AURE,Madracis auretenra,135,0,0,1,1,2898
SEFCRI,2018,MAD DECA,Madracis decactis,11.166515839997734,6.04966701888908,2.4596070862820913,31,10,23862
SEFCRI,2018,MAD FORM,Madracis formosa,22,0,0,1,1,1092
SEFCRI,2018,MAN AREO,Manicina areolata,4,0,0,1,1,1294
SEFCRI,2018,MEA MEAN,Meandrina meandrites,8.025681874625644,0.26290420395408776,0.5127418492322309,27,9,22817
SEFCRI,2018,MON CAVE,Montastraea cavernosa,22.483555107233048,76.19755268380096,8.72912095710679,78,10,23862
SEFCRI,2018,MUS ANGU,Mussa angulosa,20,0,0,1,1,2898
SEFCRI,2018,MYC ALIC,Mycetophyllia aliciae,14.230074388947928,0,0,2,2,3764
SEFCRI,2018,MYC FERO,Mycetophyllia ferox,40,0,0,1,1,866
SEFCRI,2018,MYC SPE.,Mycetophyllia spp,5,0,0,1,1,7618
SEFCRI,2018,ORB FAVE,Orbicella faveolata,60.818655643422005,1.1688502096511362,1.0811337612206624,6,4,11128
SEFCRI,2018,ORB FRAN,Orbicella franksi,59.5,3228.25,56.817690906970164,3,1,2898
SEFCRI,2018,POR ASTR,Porites astreoides,12.067498245420122,3.1211416122192226,1.7666752990346648,70,10,23862
SEFCRI,2018,POR FURC,Porites furcata,5,0,0,1,1,2898
SEFCRI,2018,POR PORI,Porites porites,5.734812223517871,0.6217838026752425,0.7885326896681218,16,5,12006
SEFCRI,2018,PSE CLIV,Pseudodiploria clivosa,5,0,0,1,1,6272
SEFCRI,2018,PSE STRI,Pseudodiploria strigosa,29.411801763964725,36.64629175287137,6.0536180712753405,5,4,9524
SEFCRI,2018,SCO CUBE,Scolymia cubensis,5,0,0,1,1,866
SEFCRI,2018,SID RADI,Siderastrea radians,6.416764132553607,1.3987326896199364,1.1826802989903638,19,5,10602
SEFCRI,2018,SID SIDE,Siderastrea siderea,8.533056615189818,3.04814225392074,1.7458929674870507,104,10,23862
SEFCRI,2018,SOL BOUR,Solenastrea bournoni,19.132510574889444,11.664651415233795,3.415355239976333,17,5,10402
SEFCRI,2018,STE INTE,Stephanocoenia intersepta,7.504495728913474,1.4069513497280852,1.186149800711565,50,10,23862
SEFCRI,2019,AGA FRAG,Agaricia fragilis,8.465584766363556,0.01808713981983724,0.13448843749496547,5,4,11107
SEFCRI,2019,AGA LAMA,Agaricia lamarcki,21.5,220.5,14.849242404917497,2,1,2898
SEFCRI,2019,COL NATA,Colpophyllia natans,13.628326996197718,0.00274870245341121,0.05242806932751968,3,2,7364
SEFCRI,2019,DIP LABY,Diploria labyrinthiformis,12.080985626283367,96.73233967677056,9.835260020801208,6,5,12175
SEFCRI,2019,EUS FAST,Eusmilia fastigiata,5.699664429530201,0.21409508580694564,0.46270410178314353,3,2,1937
SEFCRI,2019,MAD DECA,Madracis decactis,11.840916837082482,0,0,4,4,5868
SEFCRI,2019,MEA MEAN,Meandrina meandrites,6.0056235431235425,0.264945734510245,0.5147287970477706,15,7,14300
SEFCRI,2019,MON CAVE,Montastraea cavernosa,22.665615062394455,110.9113514911897,10.53144584049074,51,8,15199
SEFCRI,2019,MUS ANGU,Mussa angulosa,26,0,0,1,1,2898
SEFCRI,2019,MYC ALIC,Mycetophyllia aliciae,9,5.446054364135593,2.333678290625251,3,2,1878
SEFCRI,2019,ORB FAVE,Orbicella faveolata,39.55982818572305,173.74504296047235,13.181238293896076,6,3,4889
SEFCRI,2019,POR ASTR,Porites astreoides,11.273558293841287,4.444077313467317,2.108098032224146,52,8,15199
SEFCRI,2019,POR DIVA,Porites divaricata,9.604385964912282,0.07047706986765119,0.26547517749810656,2,1,6272
SEFCRI,2019,POR FURC,Porites furcata,21.5,0,0,1,1,6272
